Gayatri Major
Pihu Dinkar Gawde
Siddhika Sadavarte
Nainika Sanghvi
Harini Gopal Rane
Shefali Bhagavatule
Trisha Bhagavatule
Kalini Mukadam
Fulva Harale
Aakriti More
Narmada Maheshwari
Ekta Bangera
Gajalakshmi Jaisingh
Bhagyashri Seth
Tanmayi Sawant
Tiya Shete
Hasika Trivedi
Shejali Perumal
Navya Kapadia
Advika Harale
Preet Chowdhary
Tanvi Pundalik
Banita Bendre
Bavanie Kuckian
Gunjan Shriyan
Saanj Gadade
Idika Garach
Jayashree Batra
Saanavi Makkar
Madhavi Pais
Jankruti Belanekar
Eta Mishra
Ekkayani Jaiswar
Riva John
Fhalak Pandey
Eshvarya Chaudhari
Bavishya Arora
Anika Meisheri
Aadhvi Arvikar
Eila Gosai
Kalyani Sivas-
Kanishka Vijay Gupta
Sheenika Jalan
Shemunshi Waphare
Saasha Vora
Kalyani Shah
Tanisha Vador
Avantika Balakumar
Nikita Oza
Manika Krishnan
Edha Menon
Grishma Habbu
Anisha Gosalia
Madhavi Rao
Payal Lalwani
Saatvika Ismail
Saanjh Rele
Tejaswini Mungekar
Aaboli Master
Aadhvi Gajanan Gurav
Purva Thakkar
Laboni Popat
Juili Kar
Damini Gawde
